Data_sets,logistic regression,multivariable regression ,polynomial regression,linear regression
iris plants,0.017881687770415607,0.02,0.11438677883976292,0.12
brest cancer,6.0894446261220745,0.2544882,0.21269593582448693,0.3
thyroid data,1.0255295652936263,0.9973976394788895,0.05655541424532092,0.06
Heart attack data,0.081270720787972,0.08176222814261475,0.1204967699301096,0.12
car evolution data,0.19823452118419221,0.20048910269838893,0.2010053436613673,0.2
